Trans. Date,Description,Category,Amount,Type
9/11/20,WALGREENS,Shopping,4.29,Sale
9/16/20,EYE CARE,Health & Wellness,160,Sale
9/17/20,STAPLES,Shopping,37.31,Sale
9/17/20,AMAZON,Shopping,40.51,Sale
9/19/20,STAPLES,Shopping,2.36,Sale
9/23/20,AMAZON,Shopping,12.75,Sale
9/23/20,CARD PAYMENT,,244.47,Payment
9/24/20,STAPLES,Shopping,19.18,Sale
9/24/20,AMAZON,Shopping,23.9,Sale
9/25/20,AMAZON RETURN,Shopping,8.76,Return
9/26/20,SHOPRITE,Groceries,14.37,Sale
9/30/20,AMAZON,Shopping,4.79,Sale
9/30/20,COLLEGE BOOKSTORE,Education,159.25,Sale
10/1/20,GAS,Gas,18.81,Sale
10/1/20,CARD PAYMENT,,61.44,Payment
10/2/20,KOREAN WINGS,Food & Drink,63,Sale
10/5/20,CARD PAYMENT,,164.04,Payment
10/7/20,APPLE,Shopping,169.53,Sale
10/9/20,CHIPOTLE,Food & Drink,13.43,Sale
10/10/20,APPLE,Shopping,126.88,Sale
10/10/20,CARD PAYMENT,,251.34,Payment
10/10/20,MCDONALD'S,Food & Drink,13.97,Sale
10/13/20,SHOPRITE,Groceries,115.68,Sale
10/16/20,CARD PAYMENT,,269.96,Payment
10/31/20,APPLE,Shopping,194.72,Sale
10/31/20,GEOLOGIE SKINCARE,Shopping,90.63,Sale
10/31/20,APPLE,Shopping,109.82,Sale
11/6/20,CARD PAYMENT,,200,Payment
11/13/20,CARD PAYMENT,,195.17,Payment
11/28/20,AT&T,Bills & Utilities,172.87,Sale
11/30/20,CARD PAYMENT,,172.87,Payment
12/4/20,SHOPRITE,Groceries,51.42,Sale
12/5/20,STAPLES,Shopping,78.85,Sale
12/9/20,AMAZON,Shopping,31.98,Sale
12/18/20,CARD PAYMENT,,162.25,Payment
12/19/20,SPA,Health & Wellness,192.5,Sale
12/23/20,EXPRESSVPN,Bills & Utilities,99.95,Sale
12/24/20,CARD PAYMENT,,192.5,Payment
12/28/20,AT&T,Bills & Utilities,232.94,Sale
12/28/20,CARD PAYMENT,,99.95,Payment
12/31/20,CARD PAYMENT,,232.94,Payment
1/3/21,RAMEN,Food & Drink,17.38,Sale
1/11/21,DOORDASH,Food & Drink,22.06,Sale
1/14/21,CARD PAYMENT,,39.44,Payment
1/16/21,DOORDASH,Food & Drink,17.04,Sale
1/16/21,COLLEGE TRANSCRIPT,Education,6,Sale
1/19/21,COLLEGE BOOKSTORE,Education,56.75,Sale
1/22/21,EYE CARE,Health & Wellness,199,Sale
1/24/21,DOORDASH,Food & Drink,19.61,Sale
1/27/21,CARD PAYMENT,,298.4,Payment
1/28/21,AT&T,Bills & Utilities,124.9,Sale
1/30/21,GEOLOGIE SKINCARE,Shopping,90.63,Sale
2/2/21,CARD PAYMENT,,215.53,Payment
2/4/21,TEXTBOOK ACCESS,Education,85.3,Sale
2/5/21,FITBIT,Shopping,138.56,Sale
2/11/21,WALGREENS,Shopping,31.67,Sale
2/11/21,COLLEGE TRANSCRIPT,Education,3.5,Sale
2/14/21,MOTOR VEHICLE PAYMENTS,Bills & Utilities,103,Sale
2/14/21,CARD PAYMENT,,259.03,Payment
2/22/21,STAPLES,Shopping,33.58,Sale
2/24/21,DOORDASH,Food & Drink,26.57,Sale
2/25/21,WALGREENS,Shopping,58.06,Sale
2/26/21,DELI,Food & Drink,11.98,Sale
2/26/21,EYE CARE,Health & Wellness,199,Sale
3/1/21,AT&T,Bills & Utilities,124.9,Sale
3/1/21,CARD PAYMENT,,420.21,Payment
3/6/21,CAR MAINTENANCE,Automotive,253.74,Sale
3/6/21,CARD PAYMENT,,136.88,Payment
3/7/21,FASTFOOD,Food & Drink,16.25,Sale
3/11/21,DOORDASH,Food & Drink,24.85,Sale
3/12/21,DELI,Food & Drink,11.98,Sale
3/12/21,CARD PAYMENT,,294.84,Payment
3/14/21,DOORDASH,Food & Drink,23.06,Sale
3/16/21,TURBOTAX,Shopping,113.98,Sale
3/17/21,AMAZON,Shopping,29.29,Sale
3/18/21,BESTBUY,Shopping,53.3,Sale
3/18/21,NEWEGG,Shopping,66.37,Sale
3/19/21,CHICK-FIL-A,Food & Drink,34.68,Sale
3/21/21,DOORDASH,Food & Drink,25.29,Sale
3/26/21,CARD PAYMENT,,357.95,Payment
3/29/21,AT&T,Bills & Utilities,124.9,Sale
3/31/21,CARD PAYMENT,,124.9,Payment
4/1/21,NEWEGG,Shopping,66.37,Sale
4/4/21,DOORDASH,Food & Drink,25.29,Sale
4/5/21,DOORDASH,Food & Drink,29.08,Sale
4/9/21,STAPLES,Shopping,15.14,Sale
4/10/21,KOREAN WINGS,Food & Drink,52.11,Sale
4/10/21,DOORDASH,Food & Drink,4.99,Sale
4/10/21,GOODWILL,Shopping,24,Sale
4/15/21,NEWEGG,Shopping,66.38,Sale
4/16/21,DELI,Food & Drink,19.42,Sale
4/17/21,THE HOME DEPOT,Home,41.54,Sale
4/17/21,KOREAN WINGS,Food & Drink,52.11,Sale
4/21/21,CARD PAYMENT,,396.43,Payment
4/24/21,NEWEGG,Shopping,162.9,Sale
4/27/21,CARD PAYMENT,,162.9,Payment
4/28/21,AT&T,Bills & Utilities,124.92,Sale
4/29/21,NEWEGG,Shopping,66.38,Sale
4/30/21,GEOLOGIE SKINCARE,Shopping,90.63,Sale
